subject,sfreq,C3_db,C3_hz,C4_db,C4_hz,mean_db,min_db
001,160.0,9.882750631590355,12.0,7.210968640892866,12.5,8.54685963624161,7.210968640892866
002,160.0,4.828907624513892,12.0,4.122069141806199,12.5,4.475488383160046,4.122069141806199
003,160.0,0.891612272070667,9.0,1.237780686711222,13.5,1.0646964793909444,0.891612272070667
004,160.0,0.7352097063039237,14.0,0.9139817280319291,14.0,0.8245957171679263,0.7352097063039237
005,160.0,0.7086643431105968,14.0,0.691825279304795,7.0,0.7002448112076959,0.691825279304795
006,160.0,0.5583470886638603,7.5,-0.24691302024893969,7.5,0.1557170342074603,-0.24691302024893969
007,160.0,8.86898108565876,12.5,3.8827163166620577,12.5,6.375848701160409,3.8827163166620577
008,160.0,0.846417899182474,7.5,1.9082004696290336,8.0,1.3773091844057537,0.846417899182474
009,160.0,0.4036202577401665,8.0,0.23524892662250235,10.0,0.3194345921813344,0.23524892662250235
010,160.0,0.39935284030434837,9.0,1.373503225067576,11.0,0.8864280326859622,0.39935284030434837
011,160.0,0.8116211331189483,10.0,1.0909893963830837,11.0,0.9513052647510161,0.8116211331189483
012,160.0,0.8717526387774246,8.0,-0.11100763207594454,7.0,0.38037250335074,-0.11100763207594454
013,160.0,0.017845016390281115,13.5,-0.2930840392828269,9.5,-0.13761951144627288,-0.2930840392828269
014,160.0,0.7029578993948804,8.0,0.6024684815550643,9.5,0.6527131904749723,0.6024684815550643
015,160.0,4.066679187274514,12.0,4.267097454349517,11.5,4.166888320812015,4.066679187274514
016,160.0,0.5602727646717099,11.5,1.123747137454821,11.5,0.8420099510632655,0.5602727646717099
017,160.0,-1.6113513427102415,14.0,-1.1992252479985308,13.5,-1.4052882953543862,-1.6113513427102415
018,160.0,0.4393705258849713,12.0,-0.21951914629300917,7.0,0.10992568979598105,-0.21951914629300917
019,160.0,5.649179376106364,12.0,3.7721831637005914,12.5,4.7106812699034775,3.7721831637005914
020,160.0,0.04631642219843642,7.0,-1.2862337828584036,8.5,-0.6199586803299836,-1.2862337828584036
021,160.0,1.4653759165850568,11.5,3.7220898928122064,8.0,2.5937329046986317,1.4653759165850568
022,160.0,1.2830427797488322,11.5,0.6658013237878014,7.5,0.9744220517683169,0.6658013237878014
023,160.0,1.154392117186788,7.0,1.7400946237474284,13.5,1.4472433704671082,1.154392117186788
024,160.0,-0.8205575161875899,7.5,0.6225426169467776,11.5,-0.09900744962040614,-0.8205575161875899
025,160.0,10.85331245446216,11.5,5.8210376347052515,11.5,8.337175044583706,5.8210376347052515
026,160.0,-1.0425869758695736,11.0,2.4638923564495965,11.0,0.7106526902900114,-1.0425869758695736
027,160.0,10.246028291009804,11.5,2.3519578892928568,11.5,6.29899309015133,2.3519578892928568
028,160.0,2.7004946769323728,9.5,3.159772865322519,9.0,2.930133771127446,2.7004946769323728
029,160.0,8.219950877054647,11.5,12.258769868578053,11.5,10.23936037281635,8.219950877054647
030,160.0,2.049392366872728,12.0,0.7224699042235203,12.5,1.385931135548124,0.7224699042235203
031,160.0,4.3238551098778935,8.0,5.916879507176055,8.0,5.1203673085269745,4.3238551098778935
032,160.0,0.05553853234070717,11.5,-0.28775304914868316,14.0,-0.116107258403988,-0.28775304914868316
033,160.0,11.221066244654228,10.0,12.01714616749995,10.5,11.619106206077088,11.221066244654228
034,160.0,7.437445084995185,10.0,10.19623688565466,10.5,8.816840985324923,7.437445084995185
035,160.0,9.64689549878693,12.0,13.120229764275726,11.5,11.383562631531328,9.64689549878693
036,160.0,1.2458665786428265,8.5,0.1601002049115846,10.0,0.7029833917772055,0.1601002049115846
037,160.0,-0.574912309339942,7.5,0.2397073741688033,9.5,-0.16760246758556935,-0.574912309339942
